station_code;name;latitude;longitude;capacity;is_installed;is_renting;is_returning;town
41401;Marne - Charles de Gaulle;48.81507172;2.412166893;27;1;1;1;Alfortville
33103;Jean Jaurès - Jules Jacquemin;48.88433054;2.408290246;24;1;1;1;Le Pré-Saint-Gervais
6002;Saint-Benoît - Jacob;48.85545136;2.333472222;23;1;1;1;Paris
14031;Didot - Place de Moro-Giafferi;48.8337;2.3215;22;1;1;1;Paris
16019;Porte de la Muette;48.86302318;2.268718817;36;1;1;1;Paris
20044;Davout - Volga;48.85291968;2.41052291;28;1;1;1;Paris
33012;Landy - Heurtault;48.91509653;2.375951372;30;1;1;1;Aubervilliers
10019;Paradis - Hauteville;48.87499995;2.35227574;31;1;1;1;Paris
41203;Stalingrad - Rigollots;48.84997404;2.455575764;51;1;1;1;Fontenay-sous-Bois
13018;Bruant - Vincent Auriol;48.83484845;2.3668265;25;1;1;1;Paris
16005;Raymond Poincaré - Place Victor Hugo;48.87030612;2.285074541;25;1;1;1;Paris
11011;Richard Lenoir - Voltaire;48.86164274;2.37274915;25;1;1;1;Paris
20022;Porte de Bagnolet;48.86470714;2.408344637;33;1;1;1;Paris
14011;Place des Droits de l'Enfant;48.8274804;2.3319217;24;1;1;1;Paris
16105;Crevaux - Bugeaud;48.87080943;2.281149008;31;1;1;1;Paris
11001;Richard Lenoir - Place de la Bastille;48.8538327;2.3697222;53;1;1;1;Paris
10008;Cité Riverin - Château d'Eau;48.87070242;2.358739864;18;1;1;1;Paris
18039;Jardins d'Eole;48.8869703;2.3668488;20;1;1;1;Paris
16012;Flandrin - Longchamp;48.86877849;2.274354539;42;1;1;1;Paris
17009;Paul Bodin - Clichy;48.89239615;2.317142598;34;1;1;1;Paris
16036;Porte Molitor;48.84524764;2.256901525;60;1;1;1;Paris
15008;Sèvres - Lecourbe;48.8447677;2.3110086;62;1;1;1;Paris
42505;Charles Frérot - Albert Guilpin;48.81558392;2.350502908;30;1;1;1;Gentilly
15001;Gare Montparnasse - Arrivée;48.84382799;2.322581112;43;1;1;1;Paris
8117;Place de la Madeleine - Royale;48.86922805;2.324421108;26;1;1;1;Paris
12036;Reuilly - Place Felix Eboue;48.84030274;2.394630399;42;1;1;1;Paris
12015;Place de la Nation - Picpus;48.84682168;2.400113046;36;1;1;1;Paris
5007;Ecoles - Carmes;48.84890445;2.34734863;36;1;1;1;Paris
48004;Maxime Gorki - Louis Aragon;48.78909815;2.368387878;20;1;1;1;Villejuif
14026;Plantes - Moulin Vert;48.83005755;2.323230207;45;1;1;1;Paris
26004;Gare RER les Grésillons;48.91989863;2.314584591;22;1;1;1;Asnières-sur-Seine
18139;Poissonniers - Championnet;48.895433;2.353017814;28;1;1;1;Paris
1020;Cambon - Rivoli;48.86614339;2.325180065;40;1;1;1;Paris
11112;Jules Vallès - Charonne;48.85428438;2.384767458;23;1;1;1;Paris
1006;Grande Truanderie - Saint-Denis;48.8626302;2.3498075;33;1;1;1;Paris
22201;Henri Ravera - Gabriel Péri;48.79722274;2.302115858;30;1;1;1;Bagneux
6010;Chevreuse - Montparnasse;48.84173916;2.331552217;15;1;1;1;Paris
5015;Epée de Bois - Mouffetard;48.84150869;2.350066714;63;1;1;1;Paris
19110;Square Claude Bernard;48.89876016;2.375325747;30;1;1;1;Paris
10032;Claude Vellefaux - Hôpital Saint-Louis;48.87285914;2.370071707;32;1;1;1;Paris
3008;Perle - Vieille du Temple;48.8601346;2.3611206;36;1;1;1;Paris
45002;Roger Salengro - Général de Gaulle;48.82002901;2.484676056;27;1;1;1;Champigny-sur-Marne
4006;Bourdon - Pont Morland;48.8478103;2.3659356;52;1;1;1;Paris
16042;Murat - Porte de Saint-Cloud;48.83750863;2.257765196;38;1;1;1;Paris
44014;Camille Risch - Paul Armangot;48.774703;2.373685;25;1;1;1;Vitry-sur-Seine
18202;Diane Arbus;48.89880072;2.352402247;38;1;1;1;Paris
17019;Phalsbourg - Villiers;48.88242308;2.309045345;20;1;1;1;Paris
15128;Cadix - Hameau;48.83401076;2.289516181;37;1;1;1;Paris
16037;Molitor - Michel-Ange;48.84518208;2.262112774;52;1;1;1;Paris
12037;Reuilly - Daumesnil;48.8395385;2.3972516;36;1;1;1;Paris
16013;Mairie du 16ème;48.86393685;2.276595309;35;1;1;1;Paris
47003;Charentonneau - Maisons Alfort;48.80993298;2.443288456;20;1;1;1;Maisons-Alfort
7012;Cité Vaneau;48.85422107;2.319614924;26;1;1;1;Paris
18004;Place des Abbesses;48.88454273;2.338686772;12;1;1;1;Paris
