"last_reported","station_id","is_installed","is_returning","is_renting","dock_available","mechanical_available","electric_available"
1658172380,463297497,1,1,1,20,0,0
1658387235,213875650,1,1,1,0,14,10
1658387391,245187072,1,1,1,6,11,3
1658387342,129144878,1,1,1,16,7,5
1658387301,27415665,1,1,1,38,1,1
1658387386,593238093,1,1,1,1,11,11
1658387356,102331767,1,1,1,20,12,0
1658387262,37791,1,1,1,33,3,0
1658387367,50156117,1,1,1,21,0,1
1658384536,15462236,1,1,1,12,6,13
1658387388,129093478,1,1,1,21,3,2
1658387392,35908,1,1,1,15,3,1
1658387350,210744286,1,1,1,41,2,2
1658387382,101024234,1,1,1,3,45,7
1658387299,213992316,1,1,1,49,0,0
1658387326,213694482,1,1,1,19,1,0
1658387348,129011497,1,1,1,20,1,1
1658387233,101743895,1,1,1,56,6,2
1658387174,213691848,1,1,1,36,3,3
1658387234,210396518,1,1,1,8,2,6
1658387355,97677210,1,1,1,43,2,2
1658387393,39254792,1,1,1,31,12,5
1658387327,213683992,1,1,1,38,8,2
1658387287,54000601,1,1,1,16,0,1
1658387402,27362896,1,1,1,1,10,14
1658387290,213687140,1,1,1,19,9,5
1658387381,235599121,1,1,1,22,1,1
1658387045,213680917,1,1,1,23,2,0
1658387262,1057774603,1,1,1,30,0,2
1658387314,213688462,1,1,1,36,1,1
1658387361,102749572,1,1,1,21,15,13
1658387320,549876068,1,1,1,36,3,6
1658387358,390212609,1,1,1,24,3,2
1658387397,63498079,1,1,1,23,0,2
1658387119,102338493,1,1,1,22,4,2
1658387291,875078767,1,1,1,19,0,1
1658387083,210573120,1,1,1,18,2,13
1658387194,1558958733,1,1,1,1,7,18
1658387221,2515802454,1,1,1,16,2,7
1658387222,648227675,1,1,1,39,0,1
1658387397,42566291,1,1,1,0,18,15
1658387284,1062206433,1,1,1,15,0,5
1658387283,129032910,1,1,1,47,3,2
1658387399,647826568,1,1,1,20,10,1
1658387388,54000577,1,1,1,24,1,2
1658387402,54001024,1,1,1,46,2,1
1658387371,94250567,1,1,1,9,33,10
1658387219,129078200,1,1,1,27,1,0
1658387274,649888071,1,1,1,1,8,9
1658387217,82563707,1,1,1,30,2,0
1658387218,129143598,1,1,1,1,12,15
1658387354,213690847,1,1,1,30,5,2
1658387217,102333275,1,1,1,9,23,2
1658387304,640629438,1,1,1,2,12,7
1658387350,82328045,1,1,1,10,11,1
1658387235,27363362,1,1,1,16,0,3
1658387375,237624030,1,1,1,7,21,6
1658387386,213957917,1,1,1,18,3,5
1658387352,54000626,1,1,1,5,13,4
1658387290,6399,1,1,1,31,0,2
1658387385,210746090,1,1,1,40,5,2
1658387373,27414841,1,1,1,28,1,0
1658387313,82253759,1,1,1,1,22,3
1658387401,82457375,1,1,1,25,5,0
1658358231,54000609,1,1,1,33,1,0
1515739220,27415512,1,0,0,35,0,0
1658387249,49859500,1,1,1,9,7,2
1658387051,214139374,1,1,1,17,6,6
1658387097,213702608,1,1,1,17,1,1
1658387350,559507144,1,1,1,15,0,9
1658387265,213700358,1,1,1,20,0,0
1658387193,653063170,1,1,1,29,1,8
1658387305,3906215030,1,1,1,35,1,2
1658387354,129151834,1,1,1,40,0,1
1658387345,237041013,1,1,1,14,3,2
1658387182,54000553,1,1,1,2,12,19
1658387193,653200142,1,1,1,29,4,3
1658387161,650091839,1,1,1,4,15,6
1658387360,362869414,1,1,1,16,5,4
1658387336,55664548,1,1,1,2,27,2
1658387395,100859941,1,1,1,21,26,4
1658387383,49368561,1,1,1,47,4,1
1658387402,42743053,1,1,1,34,0,1
1658387334,213699913,1,1,1,17,1,4
1658387337,101740379,1,1,1,39,1,1
1658387183,4329844165,1,1,1,29,1,1
1658387284,213694069,1,1,1,25,0,1
1655990886,214134714,1,0,0,26,0,0
1658387252,468843711,1,1,1,22,1,0
1658387359,378626842,1,1,1,47,1,2
1658387362,27414945,1,1,1,14,2,0
1658387353,210090269,1,1,1,43,15,1
1658386897,376664868,1,1,1,18,3,9
1658387398,2515927759,1,1,1,17,5,4
1658387360,205955605,1,1,1,1,18,16
1658387292,933214552,1,1,1,1,21,3
1658387147,66491370,1,1,1,25,0,2
1658387373,353462947,1,1,1,20,3,6
1658387399,1559700274,1,1,1,10,2,8
1658387363,39217683,1,1,1,13,12,1
1658387253,213688824,1,1,1,24,6,2
1658387156,82337423,1,1,1,25,15,7
1658387225,66491404,1,1,1,19,0,1
1658387139,652120758,1,1,1,53,3,1
1658387401,66491393,1,1,1,36,9,2
1658387360,1062223873,1,1,1,13,4,6
1658387221,49085250,1,1,1,17,0,0
1658387260,376526598,1,1,1,45,0,1
1658387214,27071684,1,1,1,23,4,6
1658387401,2515907297,1,1,1,2,10,5
1658387357,66491401,1,1,1,38,18,0
1658387390,341388492,1,1,1,36,7,2
1658387363,985828965,1,1,1,7,30,2
1658387363,338762459,1,1,1,11,14,2
1658387398,323486248,1,1,1,4,5,4
1658387260,66491392,1,1,1,41,1,0
1658387400,478952881,1,1,1,12,8,4
1658387402,501318622,1,1,1,19,1,3
1658387359,38263504,1,1,1,0,18,3
1658387191,470807791,1,1,1,24,4,4
1658387229,82445192,1,1,1,19,14,6
1658387379,2515658032,1,1,1,17,0,2
1658387395,568135465,1,1,1,0,15,23
1657840010,570185777,1,0,0,0,0,0
1658387345,214102967,1,1,1,32,9,2
1658387335,54000597,1,1,1,18,2,0
1658387341,82417874,1,1,1,37,8,5
1658387309,102319838,1,1,1,14,1,0
1658387307,652192395,1,1,1,33,31,2
1658387343,571923059,1,1,1,40,3,3
1658387321,66491405,1,1,1,26,0,0
1658387045,54000635,1,1,1,14,8,9
1658387352,54000544,1,1,1,25,10,3
1658387170,1062179194,1,1,1,24,0,1
1658387159,1063017616,1,1,1,20,1,0
1658387393,378648513,1,1,1,32,1,2
1658387329,27278603,1,1,1,15,4,4
1658387056,13497763,1,1,1,21,2,0
1658387098,653042442,1,1,1,1,17,20
1658387191,49807107,1,1,1,14,0,2
1658387377,82450803,1,1,1,38,18,2
1658387176,210747224,1,1,1,23,15,11
1658387339,210568512,1,1,1,15,20,28
1658387307,213691542,1,1,1,26,17,9
1658387378,357409723,1,1,1,26,1,2
1658387257,2515855808,1,1,1,0,9,25
1658387320,384370499,1,1,1,25,0,0
1658387362,49403716,1,1,1,0,19,8
1658387368,54000571,1,1,1,46,7,1
1658387324,473204291,1,1,1,2,10,19
1658387395,27363103,1,1,1,26,6,1
1658387208,85145704,1,1,1,23,1,1
1658387202,653044270,1,1,1,16,0,0
1658387345,26958435,1,1,1,25,0,0
